CONSECUTIVO;COMPONENTE;COMPETENCIA;ESTRATEGIA;GRADO INICIO;GRADO FINAL;GRUPO GRADO;GRADO UNICO;IDDOCENTE
1375;65;Hace uso de su libertad de expresión y de opinión, y respeta las opiniones y las expresiones de los otros.;;1;9;1-9;1;admin
1376;58;Comprende que el disenso y la discusión constructiva pueden contribuir al progreso individual y colectivo.;;1;9;1-9;1;admin
1377;57;Identifica sus reacciones emocionales ante personas o grupos que tienen intereses o gustos diferentes a los propios y reflexiona sobre la forma como esas emociones influyen en su trato hacia esas personas.;;1;9;1-9;1;admin
1378;60;Identifica y define los conceptos de ética, moral y normas.;;1;11;1-11;1;admin
1379;60;Se identifica con el perfil del estudiante Amaurista.;;1;11;1-11;1;admin
1380;68;Conoce y analiza el manual de convivencia de la Institución Educativa Amaury García Burgos, ejerciendo los derechos y deberes que le corresponden como estudiante.;;1;11;1-11;1;admin
1381;57;Identifica las diferentes clases de virtudes y las artes de la en su vida personal.;;1;11;1-11;1;admin
1382;63;Reconoce que es el gobierno escolar, como está conformado y las funciones que éste cumple.;;1;11;1-11;1;admin
1383;63;Identifica los estamentos de la comunidad educativa, las funciones que cumple  cada uno de sus miembros y el papel que le corresponde.;;1;11;1-11;1;admin
1384;59;Explica y enumera acciones concretas de servicio de su propia familia.;;1;11;1-11;1;admin
1385;65;Explica y reconoce las diferentes formas como la familia puede expresar su compromiso social.;;1;11;1-11;1;admin
1386;67;Comprende que la orientación sexual hace parte del libre desarrollo de la personalidad y rechaza cualquier discriminación por orientación sexual.;;1;11;1-11;1;admin
1387;62;Analiza sus propias prácticas cotidianas, identificando cómo sus acciones u omisiones pueden contribuir a la discriminación de personas o grupos.;;1;11;1-11;1;admin
1388;58;Expresa empatía (sentimientos parecidos o compatibles con los de otros) ante grupos o personas cuyos derechos han sido vulnerados y plantea alternativas solidarias frente a este tipo de situaciones.;;1;11;1-11;1;admin
1389;67;Contribuye a que los diferentes tipos de conflictos entre personas y entre grupos se manejen de maneras pacíficas y constructivas mediante la aplicación de estrategias basadas en el diálogo y la negociación.;;1;11;1-11;1;admin
1390;62;Identifica dilemas de la vida cotidiana en los que distintos derechos, o los derechos de distintas personas, pueden estar en conflicto, y analiza posibles opciones de resolución, considerando los aspectos positivos y negativos de cada opción.;;1;11;1-11;1;admin
1391;60;Identifica las clases de ética en la persona.;;1;11;1-11;1;admin
1392;60;Reconoce que manifestar una ética adecuada nos hace personas responsables y confiables.;;1;11;1-11;1;admin
1393;57;Analiza cuáles son sus virtudes y valores que les permitan tener un conocimiento de sí mismo y de cómo proyectarse en el futuro.;;1;11;1-11;1;admin
1394;57;Reconoce que en todos los aspectos de nuestra vida cotidiana debemos manifestar virtudes y valores que nos permitan ser competentes y dignos de confianza.;;1;11;1-11;1;admin
1395;59;Reconoce que es importante conocer se asimismo para poder proyectarse en el futuro como ser social.;;1;11;1-11;1;admin
1396;67;Analiza casos de la vida real que le sirvan de norte para proyectarse y efectuar su aporte personal a su municipio y el país.;;1;11;1-11;1;admin
1397;66;Conoce y analiza las diferentes opciones que ofrecen las Instituciones de educación superior de tal manera que le sirvan para definir lo que decida estudiar en el futuro.;;1;11;1-11;1;admin
1398;63;Identifica los derechos y herramientas de que dispone para hacer valer sus derechos y los de otras personas cuando han sido vulnerados o se han violado normas constitucionales.;;1;11;1-11;1;admin
1399;66;Reconoce que para poder participar activamente en la comunidad necesita prepararse y conocer las leyes y  decretos que le permitan abrirse paso en la sociedad.;;1;11;1-11;1;admin
1400;66;Identifica sus aspiraciones, intereses y capacidades que le permitan participar activamente en el mejoramiento social de su localidad y el  país punto;;1;11;1-11;1;admin
