Consecutivo;estandar;competencia;estrategia;grado inicio;gradofinal;grados;grado unico;iddocente
115;28;Doy instrucciones orales sencillas en situaciones escolares, familiares y de mi entorno cercano. Establezco comparaciones entre personajes, lugares y objetos.;;6;7;6-7;6;admin
116;28;Expreso de manera sencilla lo que me gusta y me disgusta respecto a algo.;;6;7;6-7;6;admin
117;28;Narro o describo de forma sencilla hechos y actividades que me son familiares.;;6;7;6-7;6;admin
118;28;Hago exposiciones muy breves, de contenido predecible y aprendido.;;6;7;6-7;6;admin
119;28;Describo con oraciones simples mi rutina diaria y la de otras personas.;;6;7;6-7;6;admin
120;28;Respondo con frases cortas a preguntas sencillas sobre temas que me son familiares.;;6;7;6-7;6;admin
121;28;Solicito explicaciones sobre situaciones puntuales en mi escuela, mi familia y mi entorno cercano.;;6;7;6-7;6;admin
122;28;Participo en situaciones comunicativas cotidianas tales como pedir favores, disculparme y agradecer.;;6;7;6-7;6;admin
123;28;Utilizo códigos no verbales como gestos y entonación, entre otros.;;6;7;6-7;6;admin
124;28;Formulo preguntas sencillas sobre temas que me son familiares apoyándome en gestos y repetición.;;6;7;6-7;6;admin
125;28;Hago propuestas a mis compañeros sobre qué hacer, dónde, cuándo o cómo.;;6;7;6-7;6;admin
126;28;Inicio, mantengo y cierro una conversación sencilla sobre un tema conocido.;;6;7;6-7;6;admin
127;25;Sigo las instrucciones dadas en clase para realizar actividades académicas. Entiendo lo que me dicen el profesor y mis compañeros en interacciones cotidianas dentro del aula, sin necesidad de repetición.;;8;9;8-9;8;admin
128;25;Identifico ideas generales y específicas en textos orales, si tengo conocimiento del tema y del vocabulario utilizado. Reconozco los elementos de enlace de un texto oral para identificar su secuencia.;;8;9;8-9;8;admin
129;25;Muestro una actitud respetuosa y tolerante al escuchar a otros.;;8;9;8-9;8;admin
130;25;Identifico diferentes roles de los hablantes que participan en conversaciones de temas relacionados con mis intereses.;;8;9;8-9;8;admin
131;25;Utilizo mi conocimiento general del mundo para comprender lo que escucho.;;8;9;8-9;8;admin
132;25;Infiero información específica a partir de un texto oral.;;8;9;8-9;8;admin
133;25;Identifico la información clave en conversaciones breves tomadas de la vida real, si están acompañadas por imágenes.;;8;9;8-9;8;admin
134;25;Reconozco el propósito de diferentes tipos de textos que presentan mis compañeros en clase.;;8;9;8-9;8;admin
135;26;Identifico iniciación, nudo y desenlace en una narración.;;8;9;8-9;8;admin
136;26;Reconozco el propósito de una descripción en textos narrativos de mediana extensión.;;8;9;8-9;8;admin
137;26;Identifico puntos a favor y en contra en un texto argumentativo sobre temas con los que estoy familiarizado.;;8;9;8-9;8;admin
138;26;Comprendo relaciones de adición, contraste, orden temporal y espacial y causa-efecto entre enunciados sencillos.;;8;9;8-9;8;admin
139;26;Identifico la recurrencia de ideas en un mismo texto.;;8;9;8-9;8;admin
140;26;Identifico relaciones de significado expresadas en textos sobre temas que me son familiares.;;8;9;8-9;8;admin
141;26;Represento, en forma gráfica, la información que encuentro en textos que comparan y contrastan objetos, animales y personas.;;8;9;8-9;8;admin
142;26;Valoro la lectura como una actividad importante para todas las áreas de mi vida. Comprendo la información implícita en textos relacionados con temas de mi interés.;;8;9;8-9;8;admin
143;26;Diferencio la estructura organizativa de textos descriptivos, narrativos y argumentativos. Identifico elementos culturales presentes en textos sencillos.;;8;9;8-9;8;admin
144;27;Escribo narraciones sobre experiencias personales y hechos a mi alrededor.;;8;9;8-9;8;admin
145;27;Escribo mensajes en diferentes formatos sobre temas de mi interés.;;8;9;8-9;8;admin
146;27;Diligencio efectivamente formatos con información personal.;;8;9;8-9;8;admin
147;27;Contesto, en forma escrita, preguntas relacionadas con textos que he leído.;;8;9;8-9;8;admin
148;27;Produzco textos sencillos con diferentes funciones (describir, narrar, argumentar) sobre temas personales y relacionados con otras asignaturas.;;8;9;8-9;8;admin
149;27;Parafraseo información que leo como parte de mis actividades académicas.;;8;9;8-9;8;admin
150;27;Organizo párrafos coherentes cortos, teniendo en cuenta elementos formales del lenguaje como ortografía y puntuación.;;8;9;8-9;8;admin
151;27;Uso planes representados en mapas o diagramas para desarrollar mis escritos.;;8;9;8-9;8;admin
152;27;Ejemplifico mis puntos de vista sobre los temas que escribo.;;8;9;8-9;8;admin
153;27;Edito mis escritos en clase, teniendo en cuenta reglas de ortografía, adecuación del vocabulario y estructuras gramaticales.;;8;9;8-9;8;admin
154;28;Hago presentaciones cortas y ensayadas sobre temas cotidianos y personales.;;8;9;8-9;8;admin
155;28;Narro historias cortas enlazando mis ideas de manera apropiada.;;8;9;8-9;8;admin
156;28;Expreso mi opinión sobre asuntos de interés general para mí y mis compañeros.;;8;9;8-9;8;admin
157;28;Explico y justifico brevemente mis planes y acciones.;;8;9;8-9;8;admin
158;28;Hago descripciones sencillas sobre diversos asuntos cotidianos de mi entorno.;;8;9;8-9;8;admin
159;28;Hago exposiciones ensayadas y breves sobre algún tema académico de mi interés.;;8;9;8-9;8;admin
160;28;Expreso mis opiniones, gustos y preferencias sobre temas que he trabajado en clase, utilizando estrategias para monitorear mi pronunciación.;;8;9;8-9;8;admin
161;28;Uso un plan para exponer temas relacionados con el entorno académico de otras asignaturas.;;8;9;8-9;8;admin
162;28;Participo en una conversación cuando mi interlocutor me da el tiempo para pensar mis respuestas.;;8;9;8-9;8;admin
163;28;Converso con mis compañeros y mi profesor sobre experiencias pasadas y planes futuros.;;8;9;8-9;8;admin
164;28;Me arriesgo a participar en una conversación con mis compañeros y mi profesor.;;8;9;8-9;8;admin
165;28;Me apoyo en mis conocimientos generales del mundo para participar en una conversación.;;8;9;8-9;8;admin
166;28;Interactúo con mis compañeros y profesor para tomar decisiones sobre temas específicos que conozco.;;8;9;8-9;8;admin
167;28;Uso lenguaje formal o informal en juegos de rol improvisados, según el contexto.;;8;9;8-9;8;admin
168;28;Monitoreo la toma de turnos entre los participantes en discusiones sobre temas preparados con anterioridad.;;8;9;8-9;8;admin
169;28;Demuestro que reconozco elementos de la cultura extranjera y los relaciono con mi cultura.;;8;9;8-9;8;admin
170;25;Entiendo instrucciones para ejecutar acciones cotidianas.;;10;11;10-11;10;admin
171;25;Identifico la idea principal de un texto oral cuando tengo conocimiento previo del tema.;;10;11;10-11;10;admin
172;25;Identifico conectores en una situación de habla para comprender su sentido.;;10;11;10-11;10;admin
173;25;Identifico personas, situaciones, lugares y el tema en conversaciones sencillas.;;10;11;10-11;10;admin
174;25;Identifico el propósito de un texto oral.;;10;11;10-11;10;admin
175;25;Muestro una actitud respetuosa y tolerante cuando escucho a otros.;;10;11;10-11;10;admin
176;25;Utilizo estrategias adecuadas al propósito y al tipo de texto (activación de conocimientos previos, apoyo en el lenguaje corporal y gestual, uso de imágenes) para comprender lo que escucho.;;10;11;10-11;10;admin
177;25;Comprendo el sentido general del texto oral aunque no entienda todas sus palabras.;;10;11;10-11;10;admin
178;25;Me apoyo en el lenguaje corporal y gestual del hablante para comprender mejor lo que dice.;;10;11;10-11;10;admin
179;25;Utilizo las imágenes e información del contexto de habla para comprender mejor lo que escucho.;;10;11;10-11;10;admin
180;26;Identifico palabras clave dentro del texto que me permiten comprender su sentido general.;;10;11;10-11;10;admin
181;26;Identifico el punto de vista del autor.;;10;11;10-11;10;admin
182;26;Asumo una posición crítica frente al punto de vista del autor.;;10;11;10-11;10;admin
183;26;Identifico los valores de otras culturas y eso me permite construir mi interpretación de su identidad.;;10;11;10-11;10;admin
184;26;Valoro la lectura como un medio para adquirir  información de diferentes disciplinas que amplían mi conocimiento.;;10;11;10-11;10;admin
185;26;Utilizo variedad de estrategias de comprensión de lectura adecuadas al propósito y al tipo de texto.;;10;11;10-11;10;admin
186;26;Analizo textos descriptivos, narrativos y argumentativos con el fi n de comprender las ideas principales y específicas.;;10;11;10-11;10;admin
187;26;Hago inferencias a partir de la información en un texto.;;10;11;10-11;10;admin
188;26;En un texto identifico los elementos que me permiten apreciar los valores de la cultura angloparlante.;;10;11;10-11;10;admin
189;26;Comprendo variedad de textos informativos provenientes de diferentes fuentes.;;10;11;10-11;10;admin
190;27;Estructuro mis textos teniendo en cuenta elementos formales del lenguaje como la puntuación, la ortografía, la sintaxis, la coherencia y la cohesión.;;10;11;10-11;10;admin
191;27;Planeo, reviso y edito mis escritos con la ayuda de mis compañeros y del profesor.;;10;11;10-11;10;admin
192;27;Expreso valores de mi cultura a través de los textos que escribo.;;10;11;10-11;10;admin
193;27;Escribo diferentes tipos de textos de mediana longitud y con una estructura sencilla (cartas, notas, mensajes, correos electrónicos, etc.);;10;11;10-11;10;admin
194;27;Escribo resúmenes e informes que demuestran mi conocimiento sobre temas de otras disciplinas.;;10;11;10-11;10;admin
195;27;Escribo textos de diferentes tipos teniendo en cuenta a mi posible lector.;;10;11;10-11;10;admin
196;27;Valoro la escritura como un medio de expresión de mis ideas y pensamientos, quién soy y qué sé del mundo.;;10;11;10-11;10;admin
197;27;Escribo textos a través de los cuales explico mis preferencias, decisiones o actuaciones.;;10;11;10-11;10;admin
198;27;Escribo textos expositivos sobre temas de mi interés.;;10;11;10-11;10;admin
199;28;Narro en forma detallada experiencias, hechos o historias de mi interés y del interés de mi audiencia.;;10;11;10-11;10;admin
200;28;Hago presentaciones orales sobre temas de mi interés y relacionados con el currículo escolar.;;10;11;10-11;10;admin
201;28;Utilizo un vocabulario apropiado para expresar mis ideas con claridad  sobre temas del currículo y de mi interés.;;10;11;10-11;10;admin
202;28;Puedo expresarme con la seguridad y confianza propios de mi personalidad.;;10;11;10-11;10;admin
203;28;Utilizo elementos metalingüísticos como gestos y entonación para hacer más comprensible lo que digo.;;10;11;10-11;10;admin
204;28;Sustento mis opiniones, planes y proyectos.;;10;11;10-11;10;admin
205;28;Uso estrategias como el parafraseo para compensar dificultades en la comunicación.;;10;11;10-11;10;admin
206;28;Opino sobre los estilos de vida de la gente de otras culturas, apoyándome en textos escritos y orales previamente estudiados.;;10;11;10-11;10;admin
207;28;Participo espontáneamente en conversaciones sobre temas de mi interés utilizando un lenguaje claro y sencillo.;;10;11;10-11;10;admin
208;28;Respondo preguntas teniendo en cuenta a mi interlocutor y el contexto.;;10;11;10-11;10;admin
209;28;Utilizo una pronunciación inteligible para lograr una comunicación efectiva.;;10;11;10-11;10;admin
210;28;Uso mis conocimientos previos para participar en una conversación.;;10;11;10-11;10;admin
211;28;Describo en forma oral mis ambiciones, sueños y esperanzas utilizando un lenguaje claro y sencillo.;;10;11;10-11;10;admin
212;28;Uso lenguaje funcional para discutir alternativas, hacer recomendaciones y negociar acuerdos en debates preparados con anterioridad.;;10;11;10-11;10;admin
213;28;Utilizo estrategias que me permiten iniciar, mantener y cerrar una conversación sencilla sobre temas de mi interés, de una forma natural.;;10;11;10-11;10;admin
214;1;Produzco textos orales que responden a distintos propósitos comunicativos.;;1;3;1-3;1;admin
215;1;Produzco textos escritos que responden a diversas necesidades comunicativas.;;1;3;1-3;1;admin
216;1;Utilizo, de acuerdo con el contexto, un vocabulario adecuado para expresar mis ideas.;;1;3;1-3;1;admin
217;1;Expreso en forma clara mis ideas y sentimientos, según lo amerite la situación comunicativa.;;1;3;1-3;1;admin
218;1;Utilizo la entonación y los matices afectivos de voz para alcanzar mi propósito en diferentes situaciones comunicativas.;;1;3;1-3;1;admin
219;1;Tengo en cuenta aspectos semánticos y morfosintácticos, de acuerdo con la situación  comunicativa en la que intervengo.;;1;3;1-3;1;admin
220;1;Describo personas, objetos, lugares, etc., en forma detallada.;;1;3;1-3;1;admin
221;1;Describo eventos de manera secuencial.;;1;3;1-3;1;admin
222;1;Elaboro instrucciones que evidencian secuencias lógicas en la realización de acciones.;;1;3;1-3;1;admin
223;1;Expongo y defiendo mis ideas en función de la situación comunicativa.;;1;3;1-3;1;admin
224;1;Determino el tema, el posible lector de mi texto y el propósito comunicativo que me lleva a producirlo.;;1;3;1-3;1;admin
225;1;Elijo el tipo de texto que requiere mi propósito comunicativo.;;1;3;1-3;1;admin
226;1;Busco información en distintas fuentes: personas, medios de comunicación y libros, entre otras.;;1;3;1-3;1;admin
227;1;Elaboro un plan para organizar mis ideas.;;1;3;1-3;1;admin
228;1;Desarrollo un plan textual para la producción de un texto descriptivo.;;1;3;1-3;1;admin
229;1;Reviso, socializo y corrijo mis escritos, teniendo en cuenta las propuestas de mis compañeros y profesor, y atendiendo algunos aspectos gramaticales (concordancia, tiempos verbales, pronombres) y ortográficos (acentuación, mayúsculas, signos de puntuación) de la lengua castellana.;;1;3;1-3;1;admin
230;2;Comprendo textos que tienen diferentes formatos y finalidades.;;1;3;1-3;1;admin
231;2;Leo diferentes clases de textos: manuales, tarjetas, afiches, cartas, periódicos, etc.;;1;3;1-3;1;admin
232;2;Reconozco la función social de los diversos tipos de textos que leo.;;1;3;1-3;1;admin
233;2;Identifico la silueta o el formato de los textos que leo.;;1;3;1-3;1;admin
234;2;"Elaboro hipótesis acerca del sentido global de los textos, antes y durante el proceso de lectura; para el efecto, me apoyo en mis conocimientos previos, las imágenes y los títulos.";;1;3;1-3;1;admin
235;2;Identifico el propósito comunicativo y la idea global de un texto.;;1;3;1-3;1;admin
236;2;Elaboro resúmenes y esquemas que dan cuenta del sentido de un texto.;;1;3;1-3;1;admin
237;2;Comparo textos de acuerdo con sus formatos, temáticas y funciones.;;1;3;1-3;1;admin
238;3;Comprendo textos literarios para propiciar el desarrollo de mi capacidad creativa y lúdica.;;1;3;1-3;1;admin
239;3;Leo fábulas, cuentos, poemas, relatos mitológicos, leyendas, o cualquier otro texto literario.;;1;3;1-3;1;admin
240;3;Elaboro y socializo hipótesis predictivas acerca del contenido de los textos.;;1;3;1-3;1;admin
241;3;Identifico maneras de cómo se formula el inicio y el final de algunas narraciones.;;1;3;1-3;1;admin
242;3;Diferencio poemas, cuentos y obras de teatro.;;1;3;1-3;1;admin
243;3;Recreo relatos y cuentos cambiando personajes, ambientes, hechos y épocas.;;1;3;1-3;1;admin
244;3;Participo en la elaboración de guiones para teatro de títeres.;;1;3;1-3;1;admin
245;4;Reconozco los medios de comunicación masiva y caracterizo la información que difunden.;;1;3;1-3;1;admin
246;4;Comprendo la información que circula a través de algunos sistemas de comunicación no verbal.;;1;3;1-3;1;admin
247;4;Identifico los diversos medios de comunicación masiva con los que interactúo.;;1;3;1-3;1;admin
248;4;Caracterizo algunos medios de comunicación: radio, televisión, prensa, entre otros.;;1;3;1-3;1;admin
249;4;Comento mis programas favoritos de televisión o radio.;;1;3;1-3;1;admin
250;4;Identifico la información que emiten los medios de comunicación masiva y la forma de presentarla.;;1;3;1-3;1;admin
251;4;Establezco diferencias y semejanzas entre noticieros, telenovelas, anuncios comerciales, dibujos animados, caricaturas, entre otros.;;1;3;1-3;1;admin
252;4;Utilizo los medios de comunicación masiva para adquirir información e incorporarla de manera significativa a mis esquemas de conocimiento.;;1;3;1-3;1;admin
253;4;Entiendo el lenguaje empleado en historietas y otros tipos de textos con imágenes fijas.;;1;3;1-3;1;admin
254;4;Expongo oralmente lo que me dicen mensajes cifrados en pictogramas, jeroglíficos, etc.;;1;3;1-3;1;admin
255;4;Reconozco la temática de caricaturas, tiras cómicas, historietas, anuncios publicitarios y otros medios de expresión gráfica.;;1;3;1-3;1;admin
256;4;Ordeno y completo la secuencia de viñetas que conforman una historieta.;;1;3;1-3;1;admin
257;4;Relaciono gráficas con texto escrito, ya sea completándolas o explicándolas.;;1;3;1-3;1;admin
258;5;Identifico los principales elementos y roles de la comunicación para enriquecer procesos comunicativos auténticos.;;1;3;1-3;1;admin
259;5;Reconozco los principales elementos constitutivos de un proceso de comunicación: interlocutores, código, canal, texto y situación comunicativa.;;1;3;1-3;1;admin
260;5;Establezco semejanzas y diferencias entre quien produce el texto y quien lo interpreta.;;1;3;1-3;1;admin
261;5;Identifico en situaciones comunicativas reales los roles de quien produce y de quien interpreta  un texto.;;1;3;1-3;1;admin
262;5;Identifico la intención de quien produce un texto.;;1;3;1-3;1;admin
263;1;Produzco textos orales, en situaciones comunicativas que permiten evidenciar el uso significativo de la entonación y la pertinencia articulatoria.;;4;5;4-5;4;admin
264;1;Produzco textos escritos que responden a diversas necesidades comunicativas y que siguen un  procedimiento estratégico para su elaboración.;;4;5;4-5;4;admin
265;1;Organizo mis ideas para producir un texto oral, teniendo en cuenta mi realidad y mis propias experiencias.;;4;5;4-5;4;admin
266;1;Elaboro un plan para la exposición de mis ideas.;;4;5;4-5;4;admin
267;1;Selecciono el léxico apropiado y acomodo mi estilo al plan de exposición así como al contexto comunicativo.;;4;5;4-5;4;admin
